#{"t_start": 1784985745.947574, "env_id": "None"}
r,l,t,success,caught_by_robot_2,caught_by_robot_1,forced_release_robot_1,forced_release_robot_2
-22.635692,316,290.321572,False,False,False,False,False
49.236454,666,291.347754,False,True,False,False,False
-27.552158,302,291.806714,False,False,False,False,False
-26.410368,305,292.283291,False,False,False,False,False
-27.478899,359,292.838547,False,False,False,False,False
-24.185907,340,293.359988,False,False,False,False,False
-26.339186,305,294.027682,False,False,False,False,False
-22.10289,315,294.509316,False,False,False,False,False
-26.641045,304,294.992161,False,False,False,False,False
-25.493893,305,295.473701,False,False,False,False,False
54.38361,654,296.498017,False,True,False,False,False
-37.01558,362,297.058332,False,False,False,False,False
-26.078024,303,297.518452,False,False,False,False,False
-26.38749,305,297.99823,False,False,False,False,False
53.262673,634,298.975104,False,True,False,False,False
-27.397233,358,299.52991,False,False,False,False,False
-22.806761,315,300.012788,False,False,False,False,False
47.574297,694,301.305133,False,True,False,False,False
-22.483037,320,301.796476,False,False,False,False,False
51.858399,636,302.825349,False,True,False,False,False
-27.823482,359,303.379379,False,False,False,False,False
51.621138,641,304.370598,False,True,False,False,False
53.293225,655,305.382599,False,True,False,False,False
-23.57527,318,305.864887,False,False,False,False,False
52.377412,634,307.040974,False,True,False,False,False
-27.353992,367,307.626769,False,False,False,False,False
-23.097853,321,308.11824,False,False,False,False,False
52.858199,638,309.104863,False,True,False,False,False
99.691867,751,310.381578,False,True,False,False,False
52.581601,641,311.371161,False,True,False,False,False
-27.751596,360,311.929946,False,False,False,False,False
-34.868446,362,312.494183,False,False,False,False,False
53.40087,657,313.71726,False,True,False,False,False
-37.115291,276,314.135524,False,False,False,False,False
-26.360673,304,314.597157,False,False,False,False,False
-25.892472,305,315.063426,False,False,False,False,False
53.302925,642,316.09959,False,True,False,False,False
51.902139,637,317.103851,False,True,False,False,False
-25.853949,306,317.569524,False,False,False,False,False
53.493117,640,318.611811,False,True,False,False,False
-26.351394,303,319.07466,False,False,False,False,False
-23.855288,340,319.595764,False,False,False,False,False
-24.540227,343,320.33889,False,False,False,False,False
-26.768752,304,320.803483,False,False,False,False,False
-25.8451,306,321.268793,False,False,False,False,False
-26.947915,304,321.730744,False,False,False,False,False
-25.158754,344,322.261864,False,False,False,False,False
-26.839895,370,322.837867,False,False,False,False,False
-23.327487,319,323.375845,False,False,False,False,False
-25.938478,305,323.844612,False,False,False,False,False
-23.159976,319,324.333366,False,False,False,False,False
-31.190528,296,324.784922,False,False,False,False,False
-25.779799,304,325.249604,False,False,False,False,False
53.240583,660,326.278379,False,True,False,False,False
-37.113238,362,327.039145,False,False,False,False,False
-26.535018,306,327.50684,False,False,False,False,False
52.936174,636,328.487431,False,True,False,False,False
-49.057352,360,329.09097,False,False,False,False,False
52.870546,634,330.086596,False,True,False,False,False
53.80777,659,331.102908,False,True,False,False,False
-23.076933,338,331.63581,False,False,False,False,False
51.225639,684,332.68921,False,True,False,False,False
-27.722838,359,333.438906,False,False,False,False,False
52.589461,637,334.450267,False,True,False,False,False
-27.505213,362,335.010565,False,False,False,False,False
52.077265,638,335.995118,False,True,False,False,False
-26.024592,307,336.520282,False,False,False,False,False
-31.271931,294,336.983693,False,False,False,False,False
-21.593537,332,337.493141,False,False,False,False,False
-31.267145,295,337.941005,False,False,False,False,False
-25.15457,303,338.402576,False,False,False,False,False
-27.296488,361,338.956851,False,False,False,False,False
-23.068778,313,339.450589,False,False,False,False,False
-26.582704,305,340.112888,False,False,False,False,False
-27.61898,359,340.668052,False,False,False,False,False
-27.053018,386,341.268756,False,False,False,False,False
-27.25683,361,341.848814,False,False,False,False,False
-22.937247,319,342.391174,False,False,False,False,False
-24.013448,487,343.135516,False,True,False,False,False
-26.411901,304,343.59754,False,False,False,False,False
53.072608,656,344.608829,False,True,False,False,False
52.769496,634,345.598273,False,True,False,False,False
-50.218421,358,346.152802,False,False,False,False,False
-25.804551,307,346.818682,False,False,False,False,False
52.650137,639,347.810793,False,True,False,False,False
53.82208,669,348.921464,False,True,False,False,False
53.642335,657,349.965474,False,True,False,False,False
-22.082304,337,350.485622,False,False,False,False,False
-24.418073,340,351.011017,False,False,False,False,False
-25.789194,306,351.480386,False,False,False,False,False
-25.986184,304,361.939483,False,False,False,False,False
-27.409467,361,362.500004,False,False,False,False,False
-25.620176,306,362.968746,False,False,False,False,False
-27.792291,358,363.722336,False,False,False,False,False
-26.056194,306,364.191456,False,False,False,False,False
54.35114,659,365.22909,False,True,False,False,False
51.868718,634,366.216283,False,True,False,False,False
-29.002096,384,366.84444,False,False,False,False,False
51.591514,673,367.916378,False,True,False,False,False
60.484675,637,368.919997,False,True,False,False,False
-24.558033,340,369.459353,False,False,False,False,False
-26.395582,304,370.124414,False,False,False,False,False
-25.012867,342,370.651313,False,False,False,False,False
-37.205405,363,371.213713,False,False,False,False,False
-23.336549,338,371.768788,False,False,False,False,False
52.856611,636,372.777425,False,True,False,False,False
-37.699807,361,373.334056,False,False,False,False,False
-25.166812,304,373.797947,False,False,False,False,False
52.472756,633,374.791321,False,True,False,False,False
52.763419,640,375.779865,False,True,False,False,False
-23.962382,340,376.499055,False,False,False,False,False
-35.831474,364,377.067194,False,False,False,False,False
-27.480576,358,377.622917,False,False,False,False,False
49.379375,695,378.766995,False,True,False,False,False
-23.215698,315,379.250653,False,False,False,False,False
-23.398714,340,379.790275,False,False,False,False,False
51.670523,639,380.786088,False,True,False,False,False
-23.126505,317,381.269353,False,False,False,False,False
52.678336,638,382.248839,False,True,False,False,False
52.091833,633,383.419171,False,True,False,False,False
-27.882272,358,383.985702,False,False,False,False,False
-26.423529,305,384.451354,False,False,False,False,False
74.440355,752,385.688192,False,True,False,False,False
-23.243558,338,386.208556,False,False,False,False,False
-27.766105,360,386.768863,False,False,False,False,False
