#{"t_start": 1784893584.981098, "env_id": "None"}
r,l,t
15.361798,280,79.645336
17.978004,259,80.622365
118.102002,363,80.799363
18.420991,358,80.926868
15.361798,280,81.022066
13.121542,263,81.161512
18.760608,361,81.286152
17.15267,336,81.404069
9.289195,267,81.556143
18.40536,352,81.702311
17.755907,337,81.823912
18.40536,352,81.994595
17.755907,337,82.126969
16.347271,321,82.237328
16.915316,318,82.39449
118.102002,363,82.520099
16.003361,298,82.621451
17.924732,350,82.791276
16.003361,298,82.893443
18.40536,352,83.014723
114.101423,267,83.152526
18.760608,361,83.277693
15.597335,307,83.382965
16.347271,321,83.493663
16.347271,321,83.652548
18.420991,358,83.77667
18.40536,352,83.897916
18.40536,352,84.066523
18.420991,358,84.190822
18.40536,352,84.362582
13.121542,263,84.457106
114.101423,267,84.554178
16.003361,298,84.679533
17.924732,350,84.852347
17.15267,336,84.969112
16.915316,318,85.080439
16.915316,318,85.237956
15.597335,307,85.343895
18.760608,361,85.467825
17.924732,350,85.637057
18.40536,352,85.758663
18.40536,352,85.879897
17.755907,337,86.059663
18.40536,352,86.180948
118.102002,363,86.306241
17.755907,337,86.468182
18.40536,352,86.590062
16.347271,321,86.700434
118.102002,363,86.873041
118.102002,363,86.999547
16.003361,298,87.100421
17.15267,336,87.264357
17.924732,350,87.38571
18.420991,358,87.509374
16.915316,318,87.671422
18.760608,361,87.801197
118.102002,363,87.933946
16.347271,321,88.094496
16.915316,318,88.203993
16.915316,318,88.313915
16.915316,318,88.470237
18.40536,352,89.467463
16.003361,298,89.56972
17.755907,337,89.733127
18.420991,358,89.858734
118.102002,363,89.983909
14.895791,294,90.131265
16.915316,318,90.241043
17.755907,337,90.357096
14.895791,294,90.457648
118.102002,363,90.648107
16.003361,298,90.749666
17.755907,337,90.864964
18.760608,361,91.037196
18.40536,352,91.158289
16.003361,298,91.259835
118.102002,363,91.432609
18.760608,361,91.556763
16.003361,298,91.657877
17.978004,259,91.792578
118.102002,363,91.918047
18.40536,352,92.038824
17.755907,337,92.20195
18.40536,352,92.323219
18.40536,352,92.443934
16.347271,321,92.602108
16.003361,298,92.70357
18.40536,352,92.824471
18.420991,358,92.998907
